timestamp,rating_numerator,rating_denominator,name,stage,breed,favorite_count,retweet_count
2017-05-28 00:18:35,13,10,,,Labrador_retriever,26258.0,5223.0
2017-05-27 19:39:34,12,10,Cooper,,whippet,9952.0,2055.0
2017-05-26 00:29:37,12,10,,,Labrador_retriever,23808.0,4124.0
2017-05-25 16:10:44,13,10,Harold,,Border_collie,,
2017-05-24 16:44:18,12,10,Shikha,puppo,Eskimo_dog,,
2017-05-23 16:16:06,13,10,,,Samoyed,31764.0,7778.0
2017-05-22 16:06:55,12,10,Lili,,flat-coated_retriever,19004.0,3446.0
2017-05-22 00:28:40,13,10,Jamesy,pupper,French_bulldog,,
2017-05-21 16:48:45,12,10,Coco,,Samoyed,,
2017-05-19 23:57:46,13,10,Boomer,,golden_retriever,25312.0,5574.0
2017-05-19 00:12:11,13,10,Sammy,,Chesapeake_Bay_retriever,26143.0,4966.0
2017-05-18 00:50:50,13,10,Nelly,,Pembroke,27674.0,7636.0
2017-05-16 00:41:21,12,10,Meatball,,bull_mastiff,14448.0,3004.0
2017-05-15 19:14:50,13,10,Paisley,,golden_retriever,29793.0,8878.0
2017-05-14 00:34:33,13,10,Neptune,,Eskimo_dog,,
2017-05-13 16:33:49,12,10,Belle,,Staffordshire_bullterrier,,
2017-05-12 17:12:53,14,10,,,Lakeland_terrier,,
2017-05-12 16:05:02,13,10,Quinn,,French_bulldog,8428.0,2434.0
2017-05-12 00:46:44,13,10,Zooey,,Australian_terrier,19010.0,5095.0
2017-05-11 17:34:13,11,10,Dave,,basset,,
2017-05-10 00:08:34,13,10,,,chow,73882.0,23220.0
2017-05-08 00:54:59,13,10,Hobbes,,Cardigan,35874.0,10695.0
2017-05-06 23:49:50,12,10,Burt,,German_shepherd,,
2017-05-05 16:00:04,13,10,Carl,,Bedlington_terrier,23497.0,5295.0
2017-05-04 00:15:58,12,10,Milky,,French_bulldog,19472.0,4097.0
2017-05-03 19:26:06,13,10,Trooper,,Labrador_retriever,,
2017-05-03 03:17:27,13,10,,puppo,golden_retriever,18525.0,1579.0
2017-05-01 00:40:27,13,10,,doggo,golden_retriever,15515.0,3509.0
2017-04-30 00:02:42,13,10,Sophie,,Pembroke,21481.0,4870.0
2017-04-28 23:57:28,12,10,Wyatt,,golden_retriever,15701.0,2920.0
2017-04-28 16:08:49,12,10,Rosie,,French_bulldog,16120.0,2605.0
2017-04-28 00:00:54,13,10,Thor,,Labrador_retriever,34243.0,10741.0
2017-04-27 00:38:11,13,10,,,malamute,,
2017-04-26 16:00:39,13,10,,,Samoyed,20040.0,4559.0
2017-04-26 00:33:27,12,10,Zeke,,golden_retriever,18957.0,4053.0
2017-04-24 16:22:16,12,10,Callie,,Boston_bull,16291.0,2923.0
2017-04-24 15:13:52,14,10,,,Old_English_sheepdog,11870.0,1911.0
2017-04-23 23:01:59,14,10,,,Chihuahua,27807.0,6425.0
2017-04-22 18:31:02,13,10,,puppo,flat-coated_retriever,45735.0,18048.0
2017-04-21 16:33:22,12,10,,,Blenheim_spaniel,30057.0,8356.0
2017-04-19 16:25:34,12,10,Marlee,,Pembroke,23008.0,6231.0
2017-04-18 23:50:52,13,10,Arya,,Chihuahua,29540.0,7017.0
